pwsId,year,analyteCode,pwsName,countyServed,cityServed,waterSource,mean,max,populationServed,fips,
"1010001","2017","Nitrate","Aitkin","Aitkin","Aitkin","Groundwater","0.025 mg/L (ND)","0.025 mg/L (ND)","2165","27001"
"1010002","2017","Nitrate","Thompson Mobile Home Park","Aitkin","Aitkin","Groundwater","0.025 mg/L (ND)","0.025 mg/L (ND)","45","27001"
"1010019","2017","Nitrate","Why-Not Park","Aitkin","Aitkin","Groundwater","0.025 mg/L (ND)","0.025 mg/L (ND)","25","27001"
"1010011","2017","Nitrate","Hill City","Aitkin","Hill City","Groundwater","0.025 mg/L (ND)","0.025 mg/L (ND)","633","27001"
"1010016","2017","Nitrate","McGregor","Aitkin","McGregor","Groundwater","0.025 mg/L (ND)","0.025 mg/L (ND)","394","27001"
"1010013","2017","Nitrate","Palisade","Aitkin","Palisade","Groundwater","0.025 mg/L (ND)","0.025 mg/L (ND)","168","27001"
"1020034","2017","Nitrate","Andover","Anoka","Andover","Groundwater","0.025 mg/L (ND)","0.025 mg/L (ND)","19918","27003"
"1020001","2017","Nitrate","Anoka","Anoka","Anoka","Groundwater","0.191 mg/L","0.69 mg/L","17995","27003"
"1020040","2017","Nitrate","Bar None Ranch","Anoka","Anoka","Groundwater","0.025 mg/L (ND)","0.025 mg/L (ND)","60","27003"
"1020005","2017","Nitrate","GreyStone","Anoka","Bethel","Groundwater","0.025 mg/L (ND)","0.025 mg/L (ND)","560","27003"
"1020006","2017","Nitrate","Blaine","Anoka","Blaine","Groundwater","0.025 mg/L (ND)","0.025 mg/L (ND)","60199","27003"
"1020010","2017","Nitrate","Centennial Square Mobile Home Park","Anoka","Blaine","Groundwater","0.025 mg/L (ND)","0.025 mg/L (ND)","2000","27003"
"1020011","2017","Nitrate","Village Green North Mobile Home Park","Anoka","Cedar","Groundwater","0.025 mg/L (ND)","0.025 mg/L (ND)","450","27003"
"1020036","2017","Nitrate","Centerville","Anoka","Centerville","Groundwater","0.41 mg/L","0.41 mg/L","3900","27003"
"1020013","2017","Nitrate","Circle Pines","Anoka","Circle Pines","Groundwater","0.025 mg/L (ND)","0.025 mg/L (ND)","4909","27003"
"1020024","2017","Nitrate","Restwood Terrace","Anoka","Circle Pines","Groundwater","0.025 mg/L (ND)","0.025 mg/L (ND)","550","27003"
"1020016","2017","Nitrate","Columbia Heights","Anoka","Columbia Heights","Purchased Surface Water","0.41 mg/L","0.41 mg/L","19496","27003"
"1020017","2017","Nitrate","Coon Rapids","Anoka","Coon Rapids","Groundwater","0.048 mg/L","0.16 mg/L","61481","27003"
"1020042","2017","Nitrate","East Bethel","Anoka","East Bethel","Groundwater","0.025 mg/L (ND)","0.025 mg/L (ND)","137","27003"
"1020007","2017","Nitrate","Fridley Terrace Mobile Home Park","Anoka","Fridley","Groundwater","0.06 mg/L","0.06 mg/L","800","27003"
"1020031","2017","Nitrate","Fridley","Anoka","Fridley","Groundwater","0.11 mg/L","0.28 mg/L","27476","27003"
"1020002","2017","Nitrate","Flamingo Terrace Mobile Home Park","Anoka","Ham Lake","Groundwater","0.025 mg/L (ND)","0.025 mg/L (ND)","654","27003"
"1020037","2017","Nitrate","Willows of Ham Lake","Anoka","Ham Lake","Groundwater","0.025 mg/L (ND)","0.025 mg/L (ND)","69","27003"
