PWSID,PWS_NAME,CITY_SERVED,STATE,STATE_NAME,PWS_TYPE_CODE,PWS_TYPE_SHORT,SOURCE_WATER,PWS_SIZE,POPULATION_SERVED_COUNT,FISCAL_YEAR,VIOLATION_NAME,VIOLATION_ID,RULE_NAME,BEGIN_YEAR,END_YEAR,RTC_YEAR,ACUTE_HEALTH_BASED,HEALTH_BASED,MONITORING_REPORTING,PUBLIC_NOTIF_OTHER
MN5050238,Two Rivers Campground and Tubing,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,300,2013,"Monitoring, Regular",45858,Nitrates,2013,2013,2014,N,N,Y,N
MN5050238,Two Rivers Campground and Tubing,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,300,2013,"Monitoring, Regular",45300,Nitrates,2013,2013,2014,N,N,Y,N
MN5050238,Two Rivers Campground and Tubing,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,300,2012,"MCL, Average",41434,Nitrates,2011,2012,2012,Y,Y,N,N
MN5050238,Two Rivers Campground and Tubing,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,300,2011,"MCL, Average",41434,Nitrates,2011,2012,2012,Y,Y,N,N
MN5020539,The Moonshine Whiskey,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,25,2011,"MCL, Monthly (TCR)",41349,TCR,2010,2010,2011,N,Y,N,N
MN5110309,Cherney's Campground,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,100,2011,"MCL, Monthly (TCR)",41686,TCR,2011,2011,2011,N,Y,N,N
MN5110440,Heartland Baptist Church,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,50,2013,"MCL, Monthly (TCR)",44555,TCR,2013,2013,2013,N,Y,N,N
MN5120007,Jevnaker Lutheran Church,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,70,2014,"Monitoring, Routine Major (TCR)",46273,TCR,2014,2014,,N,N,Y,N
MN5120007,Jevnaker Lutheran Church,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,70,2013,"MCL, Acute (TCR)",39198,TCR,2009,2009,2014,Y,Y,N,N
MN5120007,Jevnaker Lutheran Church,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,70,2012,"MCL, Acute (TCR)",39198,TCR,2009,2009,2014,Y,Y,N,N
MN5120007,Jevnaker Lutheran Church,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,70,2011,"MCL, Acute (TCR)",39198,TCR,2009,2009,2014,Y,Y,N,N
MN5120010,Trinity Lutheran Havelock Church,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,75,2014,"MCL, Monthly (TCR)",47002,TCR,2014,2014,2015,N,Y,N,N
MN5110011,Maple Hill Lutheran Church,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,25,2012,"MCL, Monthly (TCR)",41683,TCR,2012,2012,2012,N,Y,N,N
MN5090090,"Esko Public School, ISD #99",,MN,Minnesota,NTNCWS,Non-Community,GW,Small,1200,2014,Monitoring and Reporting (DBP),46988,St1 DBP,2014,2014,2014,N,N,Y,N
MN5090090,"Esko Public School, ISD #99",,MN,Minnesota,NTNCWS,Non-Community,GW,Small,1200,2014,"Monitoring, Routine Major (TCR)",46956,TCR,2014,2014,2014,N,N,Y,N
MN5090090,"Esko Public School, ISD #99",,MN,Minnesota,NTNCWS,Non-Community,GW,Small,1200,2014,"Monitoring, Routine Major (TCR)",46955,TCR,2014,2014,2014,N,N,Y,N
MN5090090,"Esko Public School, ISD #99",,MN,Minnesota,NTNCWS,Non-Community,GW,Small,1200,2014,Monitoring and Reporting (DBP),45323,St1 DBP,2013,2013,,N,N,Y,N
MN5090090,"Esko Public School, ISD #99",,MN,Minnesota,NTNCWS,Non-Community,GW,Small,1200,2014,"Monitoring, Routine Major (TCR)",45287,TCR,2013,2013,,N,N,Y,N
MN5090090,"Esko Public School, ISD #99",,MN,Minnesota,NTNCWS,Non-Community,GW,Small,1200,2014,"Monitoring, Routine Minor (TCR)",47694,TCR,2014,2014,2014,N,N,Y,N
MN5090090,"Esko Public School, ISD #99",,MN,Minnesota,NTNCWS,Non-Community,GW,Small,1200,2013,Monitoring and Reporting (DBP),45323,St1 DBP,2013,2013,,N,N,Y,N
MN5090090,"Esko Public School, ISD #99",,MN,Minnesota,NTNCWS,Non-Community,GW,Small,1200,2013,"Monitoring, Routine Major (TCR)",45287,TCR,2013,2013,,N,N,Y,N
MN5090090,"Esko Public School, ISD #99",,MN,Minnesota,NTNCWS,Non-Community,GW,Small,1200,2013,Monitoring and Reporting (DBP),44751,St1 DBP,2013,2013,2013,N,N,Y,N
MN5090090,"Esko Public School, ISD #99",,MN,Minnesota,NTNCWS,Non-Community,GW,Small,1200,2013,"Monitoring, Routine Major (TCR)",44484,TCR,2013,2013,2013,N,N,Y,N
MN5090090,"Esko Public School, ISD #99",,MN,Minnesota,NTNCWS,Non-Community,GW,Small,1200,2012,Monitoring and Reporting (DBP),43498,St1 DBP,2012,2012,2012,N,N,Y,N
MN5090090,"Esko Public School, ISD #99",,MN,Minnesota,NTNCWS,Non-Community,GW,Small,1200,2012,"Monitoring, Routine Major (TCR)",43471,TCR,2012,2012,2012,N,N,Y,N
MN5090090,"Esko Public School, ISD #99",,MN,Minnesota,NTNCWS,Non-Community,GW,Small,1200,2012,"Monitoring, Routine Major (TCR)",43470,TCR,2012,2012,2012,N,N,Y,N
MN5090090,"Esko Public School, ISD #99",,MN,Minnesota,NTNCWS,Non-Community,GW,Small,1200,2012,Initial Tap Sampling for Pb and Cu,42072,LCR,2012,,2012,N,N,Y,N
MN5090090,"Esko Public School, ISD #99",,MN,Minnesota,NTNCWS,Non-Community,GW,Small,1200,2012,"Monitoring, Routine Minor (TCR)",42479,TCR,2012,2012,2012,N,N,Y,N
MN5070246,Minneopa State Park,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,100,2012,"MCL, Monthly (TCR)",42513,TCR,2012,2012,2012,N,Y,N,N
MN5020258,Anoka County Parks Dept.-Rice Creek,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,100,2013,"MCL, Monthly (TCR)",45333,TCR,2013,2013,2013,N,Y,N,N
MN5020258,Anoka County Parks Dept.-Rice Creek,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,100,2012,"MCL, Monthly (TCR)",42508,TCR,2012,2012,2012,N,Y,N,N
MN5020544,Custom Truck Accessories,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,35,2014,"MCL, Monthly (TCR)",39177,TCR,2010,2010,2015,N,Y,N,N
MN5020544,Custom Truck Accessories,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,35,2013,"MCL, Monthly (TCR)",39177,TCR,2010,2010,2015,N,Y,N,N
MN5020544,Custom Truck Accessories,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,35,2012,"MCL, Monthly (TCR)",39177,TCR,2010,2010,2015,N,Y,N,N
MN5020544,Custom Truck Accessories,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,35,2011,"MCL, Monthly (TCR)",39177,TCR,2010,2010,2015,N,Y,N,N
MN5030122,Curley's on 29,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,25,2011,"MCL, Monthly (TCR)",40813,TCR,2011,2011,2011,N,Y,N,N
MN5050238,Two Rivers Campground and Tubing,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,300,2015,"Monitoring, Regular",48925,Nitrates,2015,2015,,N,N,Y,N
MN5120001,Tebben Enterprises,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,35,2015,"MCL, Average",33354,Arsenic,2007,2014,,N,Y,N,N
MN5030061,Wilderness Bible Camp,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,80,2013,"MCL, Monthly (TCR)",45336,TCR,2013,2013,2013,N,Y,N,N
MN5030061,Wilderness Bible Camp,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,80,2012,"MCL, Acute (TCR)",41677,TCR,2011,2011,2012,Y,Y,N,N
MN5030061,Wilderness Bible Camp,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,80,2011,"MCL, Acute (TCR)",41677,TCR,2011,2011,2012,Y,Y,N,N
MN5110056,Cragun's on Pine Beach,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,250,2011,"MCL, Monthly (TCR)",41684,TCR,2011,2011,2011,N,Y,N,N
MN5180004,Faith Lutheran Church,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,40,2015,"MCL, Monthly (TCR)",48957,TCR,2015,2015,2015,N,Y,N,N
MN5030081,Augustana Lutheran Church,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,120,2011,"MCL, Monthly (TCR)",40812,TCR,2011,2011,2011,N,Y,N,N
MN5020263,West Bethel United Methodist Church,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,60,2011,"MCL, Monthly (TCR)",39562,TCR,2010,2010,2011,N,Y,N,N
MN5110946,YMCA Camp Olson,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,150,2012,"MCL, Monthly (TCR)",42518,TCR,2012,2012,2012,N,Y,N,N
MN5140090,Concordia Lutheran Church,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,40,2011,"MCL, Monthly (TCR)",41689,TCR,2011,2011,2011,N,Y,N,N
MN5140093,Gran Lutheran Church,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,35,2014,"MCL, Monthly (TCR)",47780,TCR,2014,2014,2014,N,Y,N,N
MN5090210,Think and Play Daycare,,MN,Minnesota,NTNCWS,Non-Community,GW,Very Small,70,2015,"MCL, Monthly (TCR)",47954,TCR,2015,2015,2015,N,Y,N,N
MN5111156,Lake Placid Bible Camp SECA,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,60,2013,"MCL, Monthly (TCR)",45340,TCR,2013,2013,2013,N,Y,N,N
MN5111156,Lake Placid Bible Camp SECA,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,60,2012,"MCL, Monthly (TCR)",42519,TCR,2012,2012,2012,N,Y,N,N
MN5090066,St. John's Lutheran Church,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,25,2013,"MCL, Monthly (TCR)",44553,TCR,2013,2013,2013,N,Y,N,N
MN5080060,Nora Unitarian Church,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,78,2012,"MCL, Monthly (TCR)",43515,TCR,2012,2012,2013,N,Y,N,N
MN5080060,Nora Unitarian Church,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,78,2012,"MCL, Monthly (TCR)",41358,TCR,2010,2010,2012,N,Y,N,N
MN5080060,Nora Unitarian Church,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,78,2013,"MCL, Monthly (TCR)",43515,TCR,2012,2012,2013,N,Y,N,N
MN5080060,Nora Unitarian Church,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,78,2011,"MCL, Monthly (TCR)",41358,TCR,2010,2010,2012,N,Y,N,N
MN5100248,Minnesota Landscape Arboretum-Shop,,MN,Minnesota,NTNCWS,Non-Community,GW,Very Small,35,2012,Follow-up Or Routine LCR Tap M/R,41640,LCR,2012,,2012,N,N,Y,N
MN5140067,Grong Lutheran Church,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,35,2014,"MCL, Monthly (TCR)",45901,TCR,2013,2013,2014,N,Y,N,N
MN5140067,Grong Lutheran Church,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,35,2013,"MCL, Monthly (TCR)",45901,TCR,2013,2013,2014,N,Y,N,N
MN5100022,East Union Lutheran Church & Social Hall,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,130,2013,"MCL, Monthly (TCR)",43516,TCR,2012,2012,2013,N,Y,N,N
MN5100022,East Union Lutheran Church & Social Hall,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,130,2012,"MCL, Monthly (TCR)",43516,TCR,2012,2012,2013,N,Y,N,N
MN5180605,Frandsen Bank & Trust - Crosslake,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,25,2011,"MCL, Monthly (TCR)",40530,TCR,2010,2010,2011,N,Y,N,N
MN5180722,Breezy Point Traditional Golf,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,120,2013,"MCL, Monthly (TCR)",45903,TCR,2013,2013,2013,N,Y,N,N
MN5180722,Breezy Point Traditional Golf,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,120,2011,"MCL, Monthly (TCR)",41696,TCR,2011,2011,2011,N,Y,N,N
MN5160303,Gunflint Pines Resort,,MN,Minnesota,TNCWS,Non-Community,SW,Very Small,50,2014,"Monitoring, Routine Major (TCR)",46965,TCR,2014,2014,2014,N,N,Y,N
MN5160303,Gunflint Pines Resort,,MN,Minnesota,TNCWS,Non-Community,SW,Very Small,50,2013,"MCL, Monthly (TCR)",45341,TCR,2012,2012,2013,N,Y,N,N
MN5160303,Gunflint Pines Resort,,MN,Minnesota,TNCWS,Non-Community,SW,Very Small,50,2012,"MCL, Monthly (TCR)",45341,TCR,2012,2012,2013,N,Y,N,N
MN5090183,Mahtowa Tavern,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,25,2015,"MCL, Monthly (TCR)",48953,TCR,2015,2015,,N,Y,N,N
MN5150074,Long Lake Park and Campground,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,125,2014,"MCL, Monthly (TCR)",47004,TCR,2014,2014,2014,N,Y,N,N
MN5160465,The Landing at Devil Track Lake,,MN,Minnesota,TNCWS,Non-Community,SW,Very Small,25,2014,"Monitoring, Routine Major (TCR)",46533,TCR,2014,2014,2014,N,N,Y,N
MN5160465,The Landing at Devil Track Lake,,MN,Minnesota,TNCWS,Non-Community,SW,Very Small,25,2014,"Monitoring, Routine Major (TCR)",46532,TCR,2014,2014,2014,N,N,Y,N
MN5160465,The Landing at Devil Track Lake,,MN,Minnesota,TNCWS,Non-Community,SW,Very Small,25,2013,"Monitoring, Routine Major (TCR)",45875,TCR,2013,2013,2013,N,N,Y,N
MN5160465,The Landing at Devil Track Lake,,MN,Minnesota,TNCWS,Non-Community,SW,Very Small,25,2013,"Monitoring, Turbidity (Enhanced SWTR)",45270,LT1 ESWTR,2013,2013,2013,N,N,Y,N
MN5160465,The Landing at Devil Track Lake,,MN,Minnesota,TNCWS,Non-Community,SW,Very Small,25,2013,"Monitoring, Turbidity (Enhanced SWTR)",45269,LT1 ESWTR,2013,2013,2013,N,N,Y,N
MN5160465,The Landing at Devil Track Lake,,MN,Minnesota,TNCWS,Non-Community,SW,Very Small,25,2012,"Monitoring, Turbidity (Enhanced SWTR)",42014,LT1 ESWTR,2011,2011,2012,N,N,Y,N
MN5160465,The Landing at Devil Track Lake,,MN,Minnesota,TNCWS,Non-Community,SW,Very Small,25,2012,"Monitoring, Turbidity (Enhanced SWTR)",42013,LT1 ESWTR,2011,2011,2012,N,N,Y,N
MN5160465,The Landing at Devil Track Lake,,MN,Minnesota,TNCWS,Non-Community,SW,Very Small,25,2012,"Monitoring, Turbidity (Enhanced SWTR)",42012,LT1 ESWTR,2011,2011,2012,N,N,Y,N
MN5160465,The Landing at Devil Track Lake,,MN,Minnesota,TNCWS,Non-Community,SW,Very Small,25,2011,"Monitoring, Routine Major (TCR)",41643,TCR,2011,2011,2011,N,N,Y,N
MN5160465,The Landing at Devil Track Lake,,MN,Minnesota,TNCWS,Non-Community,SW,Very Small,25,2011,"Monitoring, Routine Major (TCR)",41642,TCR,2011,2011,2011,N,N,Y,N
MN5160465,The Landing at Devil Track Lake,,MN,Minnesota,TNCWS,Non-Community,SW,Very Small,25,2011,"Monitoring, Routine Major (TCR)",41641,TCR,2011,2011,2011,N,N,Y,N
MN5160465,The Landing at Devil Track Lake,,MN,Minnesota,TNCWS,Non-Community,SW,Very Small,25,2011,"Monitoring, Turbidity (Enhanced SWTR)",42014,LT1 ESWTR,2011,2011,2012,N,N,Y,N
MN5160465,The Landing at Devil Track Lake,,MN,Minnesota,TNCWS,Non-Community,SW,Very Small,25,2011,"Monitoring, Turbidity (Enhanced SWTR)",42013,LT1 ESWTR,2011,2011,2012,N,N,Y,N
MN5160465,The Landing at Devil Track Lake,,MN,Minnesota,TNCWS,Non-Community,SW,Very Small,25,2011,"Monitoring, Turbidity (Enhanced SWTR)",42012,LT1 ESWTR,2011,2011,2012,N,N,Y,N
MN5090090,"Esko Public School, ISD #99",,MN,Minnesota,NTNCWS,Non-Community,GW,Small,1200,2015,Monitoring and Reporting (DBP),45323,St1 DBP,2013,2013,,N,N,Y,N
MN5090090,"Esko Public School, ISD #99",,MN,Minnesota,NTNCWS,Non-Community,GW,Small,1200,2015,"Monitoring, Routine Major (TCR)",45287,TCR,2013,2013,,N,N,Y,N
MN5140051,Lysne Lutheran Church,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,135,2014,"MCL, Monthly (TCR)",45900,TCR,2013,2013,2014,N,Y,N,N
MN5140051,Lysne Lutheran Church,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,135,2014,"MCL, Monthly (TCR)",47779,TCR,2014,2014,2015,N,Y,N,N
MN5111084,Clinton Converse State Forest-Campground,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,25,2013,"MCL, Monthly (TCR)",45898,TCR,2013,2013,2013,N,Y,N,N
MN5120007,Jevnaker Lutheran Church,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,70,2015,"Monitoring, Routine Major (TCR)",46273,TCR,2014,2014,,N,N,Y,N
MN5120010,Trinity Lutheran Havelock Church,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,75,2015,"MCL, Monthly (TCR)",47002,TCR,2014,2014,2015,N,Y,N,N
MN5060021,Big Stone Lake State Park,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,67,2014,"MCL, Average",43594,Nitrates,2012,2015,2015,Y,Y,N,N
MN5060021,Big Stone Lake State Park,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,67,2013,"MCL, Average",43594,Nitrates,2012,2015,2015,Y,Y,N,N
MN5060021,Big Stone Lake State Park,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,67,2012,"MCL, Monthly (TCR)",41355,TCR,2011,2011,2012,N,Y,N,N
MN5060021,Big Stone Lake State Park,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,67,2012,"MCL, Average",43594,Nitrates,2012,2015,2015,Y,Y,N,N
MN5060021,Big Stone Lake State Park,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,67,2011,"MCL, Monthly (TCR)",41355,TCR,2011,2011,2012,N,Y,N,N
MN5130398,Environmental Stoneworks,,MN,Minnesota,NTNCWS,Non-Community,GW,Very Small,40,2012,Follow-up Or Routine LCR Tap M/R,42098,LCR,2012,,2012,N,N,Y,N
MN5130317,"Royal Concrete Pipe, Inc.",,MN,Minnesota,NTNCWS,Non-Community,GW,Very Small,75,2012,Follow-up Or Routine LCR Tap M/R,42084,LCR,2012,,2012,N,N,Y,N
MN5120027,Milan Beach Resort,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,40,2014,"MCL, Monthly (TCR)",47775,TCR,2014,2014,2014,N,Y,N,N
MN5160486,Norwood Shores East,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,25,2014,"MCL, Monthly (TCR)",47784,TCR,2014,2014,2015,N,Y,N,N
MN5110188,Tianna Country Club Inc.,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,150,2012,"MCL, Monthly (TCR)",41685,TCR,2011,2011,2012,N,Y,N,N
MN5110188,Tianna Country Club Inc.,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,150,2011,"MCL, Monthly (TCR)",41685,TCR,2011,2011,2012,N,Y,N,N
MN5140051,Lysne Lutheran Church,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,135,2013,"MCL, Monthly (TCR)",45900,TCR,2013,2013,2014,N,Y,N,N
MN5140051,Lysne Lutheran Church,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,135,2013,"MCL, Monthly (TCR)",43519,TCR,2013,2013,2013,N,Y,N,N
MN5090198,Royal Pines Motel,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,25,2014,"MCL, Monthly (TCR)",46310,TCR,2014,2014,2014,N,Y,N,N
MN5070242,The Windmill Bar and Lounge,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,100,2014,"MCL, Monthly (TCR)",46307,TCR,2014,2014,2014,N,Y,N,N
MN5070243,Mount Kato,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,500,2014,"MCL, Monthly (TCR)",46308,TCR,2014,2014,2014,N,Y,N,N
MN5111137,64 Stop,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,250,2011,"MCL, Acute (TCR)",40818,TCR,2011,2011,2011,Y,Y,N,N
MN5110857,Jake's City Grille,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,50,2015,"MCL, Monthly (TCR)",47955,TCR,2015,2015,2015,N,Y,N,N
MN5070255,Rapidan Park,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,60,2014,"MCL, Monthly (TCR)",46999,TCR,2014,2014,2014,N,Y,N,N
MN5160085,Rockwood Lodge & Outfitters,,MN,Minnesota,TNCWS,Non-Community,SW,Very Small,56,2014,"Monitoring, Routine Major (TCR)",46971,TCR,2014,2014,2014,N,N,Y,N
MN5110911,Shores of Leech Lake,,MN,Minnesota,TNCWS,Non-Community,GW,Very Small,250,2015,"MCL, Monthly (TCR)",47773,TCR,2014,2014,,N,Y,N,N
